Variable Name,Short Description,Long Description (Summarized)
HI030,REASON FOR DECREASE IN INCOME,"Provided reasons refer to change in the degree of occupation, normal life transitions (having children, retirement), household composition change as well as changes related to social transfers. If there is more than one reason for decrease in household income, respondent should select the main reason. Main reason is the reason which to the greatest extent decreased the household income. Suggested question: What was the reason your income decreased? If there is more than one reason, please choose the most important one: 1 Reduced working time/ wage or salary (same job), including self-employment (involuntary) 2 Parenthood/parental leave/child care/to take care of a person with illness or disability 3 Changed job 4 Lost job/unemployment/bankruptcy of (own) enterprise 5 Became unable to work because of illness or disability 6 Divorce/partnership ended /other change to household composition 7 Retirement 8 Cut in social benefits 9 Other"
HI040,EXPECTATION OF THE HOUSEHOLD INCOME IN,"Based on respondent’s (subjective) opinion. Suggested question: When you think of the next 12 months, do you expect the household income to: 1. Improve 2. Remain the same 3. Deteriorate"
HY010,TOTAL HOUSEHOLD GROSS INCOME,Before 2011: Pensions received from individual private plans (other than those covered under ESSPROS) (PY080G)/ (PY080N) are not included in the total household gross income (HY010). From 2011 onwards: Pensions received from individual private plans (other than those covered under ESSPROS) (PY080G)/ (PY080N) are treated as a component of property income and should be included in the total household gross income (HY010). Inclusion of PY080 in HY010 should be implemented by countries from the 2011 operation onwards.
HY020,TOTAL DISPOSABLE HOUSEHOLD INCOME,"Before 2011: Pensions received from individual private plans (other than those covered under ESSPROS) (PY080G)/ (PY080N) are not included in the total disposable household income (HY020). From 2011 onwards: Pensions received from individual private plans (other than those covered under ESSPROS) (PY080G)/(PY080N) are treated as a component of property income and should be included in the total disposable household income (HY020). Inclusion of PY080 in HY020, HY022 and HY023 should be implemented by countries from the 2011 operation onwards."
HY022,TOTAL DISPOSABLE HOUSEHOLD INCOME,Pensions received from individual private plans (other than those covered under ESSPROS) (PY080G)/(PY080N) are treated as a component of property income and should be included in the total
HY023,TOTAL DISPOSABLE HOUSEHOLD INCOME,Pensions received from individual private plans (other than those covered under ESSPROS) (PY080G)/(PY080N) are treated as a component of property income and should be included in the total
PY141,144 and PY101-104 (when applicable).,
PY131,"134, PY141-144 and PY101-104 (when applicable).",
RB010,YEAR OF THE SURVEY,"Year in which the survey data collection, or most of the collection, is carried out."
RB020,COUNTRY OF RESIDENCE,"The country of residence is the country in which the usual residence of the household/person is located. The list of countries is defined according to the Eurostat Standard Code list (SCL) GEO which is largely based on the International Organization for Standardization (ISO) 3166 country codes (3166-1 alpha-2). The SCL GEO is available here: https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=CL_G EO&StrLanguageCode=EN&IntPcKey=&StrLayoutCode=HIERARCHIC. Information on the country of residence should be obtained in accordance with the current national borders. Country code, year and IDs are used as key variables to merge different files."
RB030,PERSONAL ID,Personal ID (maximum eleven digits) = Household ID (maximum nine digits) + personal number (two digits) Personal number: for every new person in the household add 1 to the highest-used persons number (for all the years of the survey and the Household ID) It refers to the number assigned in ‘the household register’ to the person the first time that he/she is recorded as a household member. It should correspond to the person’s line position in ‘the household register’.
RB032,SEQUENTIAL NUMBER OF THE PERSONS IN THE,Sequential number of the persons in the household. The number should be unique for each current household member. This variable should aid transmission of the household grid. Example: Wave 2 HH number Split number HH number Split number 123 00 01 123-00-01 123 00 01 123-00-01 123 00 02 123-00-02 123 00 02 123-00-02 123 00 03 123-00-03 123 00 03 123-00-05 123 00 04 123-00-04 123 00 05 123-00-05 HH number Split number RB032 Personal id HH ID 123 01 01 123-00-03 123 01 02 123-00-04 123 01 03 123-01-01 RB032 Personal id RB032 Personal id Wave 1 HH ID HH ID
RB040,CURRENT HOUSEHOLD IDENTIFICATION (ID),"Every household in the sample is allocated a household number. This number is the base upon which to construct the Household ID and the Personal ID. It should be a sequential number and should not contain other information. It must NOT contain any information that conflicts with confidentiality rules. This number must be unique for all the years of the survey. Household ID (maximum nine digits) = Household number (maximum seven digits) + split number (two digits) When there is no change in the household composition between waves, it keeps the Household number and Split number from one wave to the next. In the case of a split-off, the initial household will keep the Household number and Split number from one wave to the next. The other households, i.e. the split-off households will keep the same Household number, but will be assigned the next available unique Split number in sequence. In the case of a fusion of two sample households, if the new household remains at a previous address, it shall retain the Household number and Split number of the household that was at that address in the previous wave. If the new household is at a new address, the Household number and Split number of the household of the sample person who now has the lowest person number in ‘the household register’ will be retained."
RB050,PERSONAL CROSS-SECTIONAL WEIGHT,"See construction of weights in chapter ‘Weights’ These weights had to be coded with two integers and five decimals. 0+ (format 2.5) Weight (see the required format) 1 -7 Filled Not applicable (RB010 not equal to “last year of operation"")"
RB060,PERSONAL BASE WEIGHT,"See construction of weights in chapter ‘Weights’. These weights have to be coded with two integers and five decimals. In practice, personal cross-sectional weights will be coded with at least one integer and five decimals. The personal base weight can have the value 0, namely for non-panel persons. 0+ (format 2.5) Weight (see the required format) 1 Filled"
RB062,LONGITUDINAL WEIGHT [TWO-YEAR DURATION],"See construction of weights in chapter ‘Weights’. Longitudinal weights are constructed after all other set of weights are defined for the y-1. 0+ (format 2.5) Weight (see the required format) 1 -1 -2 Filled Missing Not applicable (only one year trajectory for the individual, i.e., individual in first wave)"
RB063,LONGITUDINAL WEIGHT [THREE-YEAR,"See construction of weights in chapter ‘Weights’. 0+ (format 2.5) Weight (see the required format) 1 -1 -2 Filled Missing Not applicable (less than three-year trajectory for the individual, i.e., individual in first or second wave)"
RB064,LONGITUDINAL WEIGHT [FOUR-YEAR DURATION],"Longitudinal set of a four-year duration. Only panel 4 with data from years (Y-3) to Y contributes to this set. See construction of weights in chapter ‘Weights’. 0+ (format 2.5) Weight (see the required format) 1 -1 -2 Filled Missing Not applicable (less than four-year trajectory for the individual, i.e. individual in first, second or third wave)"
RB065,LONGITUDINAL WEIGHT [FIVE-YEAR DURATION],"See construction of weights in chapter ‘Weights’. 0+ (format 2.5) Weight (see the required format) 1 -1 -2 -5 -7 Filled Missing Not applicable (less than five-year trajectory for the individual, i.e., individual in first, second, third or fourth wave) Not applicable (country has a four-year panel) Not applicable (RB010 < 2021)"
RB066,LONGITUDINAL WEIGHT [SIX-YEAR DURATION],"See construction of weights in chapter ‘Weights’. 47 Applicable in case of the longer panel duration. Countries having 4 years panel will use flag not applicable. 0+ (format 2.5) Weight (see the required format) 1 -1 -2 -5 -7 Filled Missing Not applicable (less than six-year trajectory for the individual, i.e., individual in first, second, third, fourth or fifth wave47) Not applicable (country has a four-year panel) Not applicable (RB010 < 2021)"
RB080,YEAR OF BIRTH,"Year of birth together with the passing of birthday and reference date of the interview gives information needed to calculate age. When asking for the passing of birthday at the time of the interview, the following questions are recommended: ""What is your year of birth? Have you already had your birthday this year?"" At data collection level, the exact date of birth might be asked directly to the respondents. In this case the recommended question is: ""What is your date of birth?"" (DD/MM/YYYY). This variable is supposed to be collected during the first interview (the first wave), however needs to be transmitted to Eurostat annually. 1890 − year of the survey"
RB081,AGE IN COMPLETED YEARS (AT THE END OF,"RB081 records the age at the end of the income reference period. The EU-SILC has two reference dates used for defining person’s age in completed years: end of income reference period (RB081) and the date of interview (RB082). Age at the end of income reference period is used to define statistical population, sample person, etc. Age in completed years at the end of income reference period (end of previous calendar year or tax year) is the age of the person at his/her last birthday before the reference date. I.e. the interval of time between the date of birth and the date of end of the income reference period expressed in completed years. RB081 and RB082 are different for individuals who have their birthday before the date of the interview and is the same for individuals that have their birthday after the date of the interview. For example, respondent turns 35 years old on 29 May 2017 and the interview is conducted on 10 June 2017. He/she is 35 years old at the time of the interview (RB082=35). However, when referring to income reference period (in that case December 2016) respondent is 34 years old (RB081 =34). For example, respondent turns 35 years old on 29 September 2017 and the interview is conducted on 10 June 2017. He/she is 34 years old at the time of the interview (RB082=34) and when referring to income reference period (in that case December 2016) respondent is also 34 years old (RB081 =34). Children born after the end of reference income period should be recorded as ‘0’. Also, children that are months old at the end of income reference period should have the value ‘0’. The quality reporting related to the variable 'age in completed years' should contain information on the number of records for which information on the age in completed years is imputed and this imputed value should be reported in the flags. When asking whether the birthday has passed at the time of the interview, it is recommended to use the following question: ""What is your year of birth? Have you already had your birthday this year?"" Age"
RB082,AGE IN COMPLETED YEARS AT THE TIME OF THE,"Age in completed years at the time (date) of the interview is the interval of time between the date of birth and the date of the interview in completed years. The following information is to be collected under this variable: - Year of birth - Passing or not of the birthday at the reference date - Reference date RB082 records the age at the time of the interview. For example, the interview is conducted in June 2017, and the person had their birthday on 29 May 2017, turning 35 years old. He/she is 35 years old at the time of the interview (RB082=35). If the person has the birthday on 29 August 2017 and the interview is done on 10 June 2017 then the age at the time of interview (PB082) will be 34. The quality reporting related to the variable 'age in completed years' should contain information on the number of records for which information on the age in completed years is imputed and this imputed value should be reported in the flags. When asking whether the birthday has passed at the time of the interview, the following questions are recommended: ""What is your year of birth? Have you already had your birthday this year?"" In case the reference date is not the time of the interview, the question has to be adapted, clearly explaining which reference date the passing of birthday should refer to. At data collection level, the exact date of birth might be asked directly to the respondents. In this case the recommended question is: ""What is your date of birth?"" (DD/MM/YYYY). This variable is to be constructed from the following variables: Year of birth and passing of birthday. Age"
RB083,PASSING OF BIRTHDAY AT THE TIME OF THE,"This variable collects whether the person has already had his/her birthday that year. Use of the following questions are recommended: ""Have you already had your birthday this year?"" At data collection level, the exact date of birth might be asked directly to the respondents. In this case the recommended question is: ""What is your date of birth?"" (DD/MM/YYYY)."
RB090,SEX,"Sex is the combination of biological and physiological characteristics that define a person to be either male or female. In cases where the biological sex of a person is not known, the information may be replaced by either the information from administrative data or the self-declared sex (survey data). The quality reporting related to the variable 'sex' should contain information on the number of records where the sex is imputed. This variable is supposed to collect only during the first wave but be transmitted annually. In case of change the information transmitted should be updated. Depending on the data collection mode or information being available from administrative sources it might not be necessary to collect this information from respondents directly. The proposed question is the following: ""What is your sex?"" 1 2 Male Female"
RB100,SAMPLE PERSON OR CO-RESIDENT,"Sample persons: means a member of the private household in the initial sample who is at least 16 years old at the end of the income reference period. Initial sample: Refers to the sample of households or persons at the time it is selected for inclusion in EU- SILC. Age limit used to define sample persons: In the case of a four-year panel, this age limit shall not be 16 year or higher at the end of the income reference period. In countries with a four-year panel using a sample of addresses or of households, all household members aged 16 and over in the initial sample shall be sample persons. In countries with a four-year panel using a sample of persons, this shall involve the selection of at least one such person per household. For an initial sample of persons, the term applies only to the individuals selected (normally one per sample household). Co-residents or non-sample persons means a current household member other than a sample person. Sample household means a private household containing at least one sample person. Implementation For countries selecting a sample of households (addresses) and using the Eurostat integrated design, each sub-sample will be a panel and it will be followed over the course of four years. In the first wave of each four-year panel, all household members aged 16 and over will be a sample person. Household members aged less than 16 will be co-residents. In the second wave and so forth, the co-residents will be those household members that are aged less than 16 (at the moment of the sample selection) plus household members who joined a sample household after the first wave. 1 2 Sample person Co-resident 1 -1 Filled Missing"
RB110,MEMBERSHIP STATUS,"First year that the initial household is included in the survey 1 For current household members Following years 1  For current household members that were household members in previous waves. 2  For current household members that were not household members of this household in previous waves but who moved into this household from another sample household since the previous wave. 3  For current household members that were not household members of this household in previous waves but who have moved into this household from outside the sample since the previous wave. 4  For those newly born into this household since previous wave. 5  Not current household members that were household members of this household in previous waves but have moved out since previous wave or last interview if not contacted in previous wave. 6  Those who were household members in previous waves and who have died since previous wave or last interview if not contacted in previous wave. Where a person regularly lives in more than one dwelling, the dwelling where that person spends the greater part of the year shall be taken to be his or her place of usual residence, regardless of whether it is located elsewhere within the country or abroad. Initial household means a sample household which has undergone a household split and where any sample person who lived in that household at the time of wave x still lives at the same address at the time of wave x+1. If more than one sample person lived in the household at the time of the wave x and still live in that address at the time of the wave x+1 but in different households, the initial household is the household of the sample person still living at the initial address who has the lowest person number referred to in Annex III. If at the time of wave x+1 no sample person lives at the address of wave x, then the household of the sample person who had the lowest person number at the time of wave x is the initial household. If this person is no longer alive or no longer living in a private household within the national territory of the target population, the 1 -1 Filled Missing"
RB120,LOCATION WHERE THE PERSON MOVED,"Respondents who moved to a different private household in the country should be followed and interviews in the following waves of the survey. Respondents who are coded 2, 3 or 4 are not within the survey scope and should not be followed and interviewed in the next wave. 1 2 3 4 To a private household in the country To a collective household or institution in the country Abroad Lost"
RB200,RESIDENTIAL STATUS,"All people who are usually resident, irrespective of whether or not they are related to other members of the private household, shall be considered to be members of a multi-person private household if they share household income or household expenses with other household members. Flatmates or housemates occupying a housing unit on a house-sharing basis and sharing only house-related expenses, but not sharing household income, shall not be considered a part of a multi-person private household occupying this housing unit, even if they share some other subsidiary household expenses. Currently living in the household: A household member is currently living in the household. Temporarily absent: A household member is temporarily absent because he/she is: • In hospital/nursing home • In full-time educational institute • Military service or equivalent • Other institution (prison etc.) • Working out of town • On travel • Other reasons Particular cases in application of the concept of usual residence is defined in Article 4, Commission implementing regulation 2019/2181. 1 2 Currently living in the household Temporarily absent"
RB211,MAIN ACTIVITY STATUS (SELF-DEFINED),"The variable refers to a person’s own perception of his or her current main activity status. Self-perception means the variable shall capture how people perceive themselves, not how they meet certain objective criteria. When more than one status applies to the person, the respondent should select the category that best describes his/her situation. No criteria for that are specified but it could be determined by the status/activity with the most time spent. The main status refers to the current situation (situation at the moment of the data collection/interview). Registers as a source of information could be used in exceptional cases. In cases where respondents cannot choose one category, as several categories apply to them, the interviewer can provide some clarification. However, it should not be indicated, which category should be chosen, should not be given. For example: – Respondents can consider themselves being employed irrespective of their official labour market status, working time or kind of income from employment. Respondents helping in the family business, even if it is unpaid, can consider themselves as employed. Opposite can occur when a person who chooses another main activity status can also be in employment. For instance, people who regard themselves as full-time students or mainly fulfilling domestic tasks can have a job. – Respondents can see themselves as being unemployed irrespective of an official status or a registration with the public unemployment office. Unemployed persons can also have part-time or ad hoc jobs while seeking for a full-time job. – Respondents who are in various forms of vocational education or training that (partly) takes place at the work site can consider themselves as being in employment. This also applies to apprentices, as well as"
RB220,FATHER ID,"This variable is to be derived from the Household grid and Personal ID. RB220 includes step/adoptive fathers. The person needs to be considered a parent from legal perspective. In the case of same-sex couples, the notion of father and mother can be replaced by parent 1 and parent 2 (in such situations a data checking error will be listed, and it should be ignored). It corresponds with the RB030 generated as: Personal ID = Household ID + personal number (two digits). 1 -1 -2 Filled Missing Not applicable (father is not a household member)"
RB230,MOTHER ID,"This variable is to be derived from the Household grid and Personal ID. RB230 includes step/adoptive mothers. The person needs to be considered a parent from legal perspective. In the case of same-sex couples, the notion of father and mother can be replaced by parent 1 and parent 2 (in such situations a data checking error will be listed, and it should be ignored). It corresponds with the RB030 generated as: Personal ID = Household ID + personal number (two digits). 1 -1 -2 Filled Missing Not applicable (mother is not a household member)"
RB240,SPOUSE/PARTNER ID,This information should be derived from the household grid and personal id. Description includes married people and partners in a consensual union (with or without a legal basis). In such cases when a spouse or partner is not a household member than the respective flag for the variable RB240 should be filled as ‘-2’. 1 -1 -2 Filled Missing Not applicable (Have no spouse/partner or spouse/partner is not a household member)
RB245,RESPONDENT STATUS,"For countries using a sample of households or addresses, only values ‘1’ and ‘4’ are applicable. For countries using a sample of persons (selected respondent), only the values 2, 3 and 4 are applicable. The age refers to the age at the end of the income reference period. 1 Filled"
RB250,DATA STATUS,"− 1 -2 Filled Not applicable (RB245 not equal to 1, 2 or 3)"
RB280,COUNTRY OF BIRTH,"The variable is part of standardised list of social variables. The country of birth of an individual is defined as the country of usual residence (in its current boundaries) of the individual’s mother at the time of delivery. Information on the country of birth is used to distinguish between native-born (born in the reporting country) and foreign-born (born in a country other than the reporting country) residents. Information on the country of birth should be obtained according to the current national boundaries and not according to the boundaries in place at the time of birth. More detailed information on the locality could be required if the boundaries of a country have changed. When data are collected by interview, the respondent can be asked additional questions. When data are derived from administrative registers, it is more difficult to ensure that the definition is followed. If detailed information on the mother’s place of usual residence exists in the register, the country of birth should be re- coded so that it is coded according to the current national borders. Particular care is needed in cases where national boundaries have changed and/or where previously existing countries have split to form two or more new countries. As noted in the UNECE 2020 census recommendations (par. 651), a person should not be regarded as foreign-born (i.e. recorded as born in a country other than the reporting country) simply because the national boundaries of the country of birth have changed. The following important exception to the general rule of considering the current borders might exist: a person whose mother’s place of usual residence was, at the time of his/her birth, part of the person’s actual country of origin (e.g. as indicated by his/her citizenship or current place of usual residence) but is not any more due to changed borders. In this case the country of birth can exceptionally be enumerated at the boundaries at the time of birth. The country of birth of a person, who was born during the mother’s short-term visit to a country other than her country of usual residence, should be the country where the mother had her place of usual residence. Only if information on the place of usual residence of the mother at the time of the birth is not available, the place where the birth took place should be reported. The list of countries is defined according to the Eurostat Standard Code list (SCL) GEO which is largely based on the International Organization for Standardization (ISO) 3166 country codes (3166-1 alpha-2). The short list of country codes corresponding to Ramon (GEO) classification as defined in the annex of the guidelines for standardised variables is included in Annex 10."
RB285,DURATION OF STAY IN THE COUNTRY OF,"The variable describes the interval of time since the point in time when a person most recently established his/her usual residence in the reporting country, expressed in completed years. The category 'number of years in this country (since last establishing the place of usual residence in this country)' are integer numbers describing the time span between the point in time when a person most recently established his/her usual residence and the reference date, in completed years. The time span includes the lower limit and excludes the upper limit. For example, a person who has arrived on 1st of March 2011 shall be classified in the category '3 years' if interviewed in February 2015 but in the category '4 years' if interviewed in March 2015. The flag ‘-2-born in this country and never lived abroad for a period of at least 1 year' covers those persons who are native-born, i.e. born in the reporting country (see variable 'country of birth'), and have never had their usual residence in a country other than the reporting country for at least 1 year. The duration of stay refers to the current situation for the individual, i.e. the situation existing on the reference date. The reference date is specific to each social micro-data collection (see the implementation guidelines for variable 'age in completed years'). Information on the person's 'country of birth' (i.e. whether the person is native- or foreign-born) needs to be known prior to the collection of information for the variable 'duration of stay in the country of residence in completed years', as different questions need to be asked for the native-born and for the foreign-born. If the information on the 'country of birth' is not available (i.e. 'not stated'), the same questions as for the 'native- born' should be asked. The 'duration of stay in the country of residence in completed years' refers to the most recent arrival in the country of residence, that is, when the person last established his or her usual residence in the country, and not the year of first arrival in this country (i.e. the 'duration of stay in the country of residence in completed"
RB290,COUNTRY OF MAIN CITIZENSHIP,"The variable reports on the country of the person's main citizenship. Citizenship is defined as the particular legal bond between the individual and his/her State acquired by birth or naturalisation, whether by declaration, choice, option, marriage or other means according to the national legislation. It generally corresponds to the country that issues the passport. A person with two or more citizenships shall be allocated to only one country of citizenship, to be determined in the following order of precedence: 1. If one of the person's citizenship is the reporting country, it  shall be recorded as the country of main citizenship; 2. If the person does not have the citizenship of the reporting country but one of another Member State, it shall be the recorded as the person's main citizenship. 3. If the person does not have the citizenship of the reporting country but multiple citizenships of other countries, the person may choose which of his/her EU citizenships is to be recorded. 4. If the person does not have the citizenship of any Member State, the person may choose which of his/her citizenships is to be recorded. In other cases (e.g., dual citizenship where both countries are within the EU, but neither is the reporting country) the person may choose which country of citizenship is to be recorded. If the information on the person's country of citizenship is not available (e.g., in case the information is obtained from administrative sources), the reporting country may determine which country of citizenship is to be allocated. Information on the country of main citizenship is used to distinguish between national citizens (individuals having the citizenship of the reporting country), non-national citizens (individuals having the citizenship of a country other than the reporting country) and stateless persons. Citizenship shall refer to the current (at the time of the interview) national boundaries and not the boundaries at the time of the reference period. To apply this definition, information only on citizenship may be insufficient. More detailed information on the current country is needed if the boundaries of the have been changed. In the case of citizenships that no longer exist, the present-day borders of the country should be used. The list of countries is defined according to the Eurostat Standard Code list (SCL) GEO which is largely based on the International Organization for Standardization (ISO) 3166 country codes (3166-1 alpha-2)."
RL010,EDUCATION AT PRE-SCHOOL,"Education at pre-school: Pre-school or equivalent (e.g. kindergarten, nursery school …). The educational classification to be used is ISCED Level 0. Special pre-schools or equivalents for children who have special needs (handicapped,…) shall be included in as far as they are considered as pre-school (level 0). If they are not, they shall not be reported here (reported for example in RL040 for day-care centre). The meals at (pre-)school shall be included in the number of hours for the usual days the child eats at (pre- )school. If more than 99 hours, the code 99 should be used. The hours shall be rounded to the nearest hour. If the child spends per week in the pre-school or equivalent less than one hour, then one hour is coded. Children stay over at pre-school during the lunch time: If during the lunch time, children are usually cared for by their parent at the school place (or elsewhere), these hours are not counted in the variables of childcare since their parents are present. If during lunch time they are usually cared for by other parents at the school place (or elsewhere), these should be classified in RL060 (if parents have not paid for this help). If during lunch time they are usually cared for by somebody belonging to the school organisation (e.g., canteen), the hours are classified in RL010/RL020. If during lunch time they are usually cared for by a nanny, grandmother, they should be classified in the other variables (RL040-050-060) depending on who is the usual carer. School transportation: The time spent on “school transportation” should be included in RL010/RL020 if someone belonging to the school organisation is taking care of the children during school transportation. If children are usually cared for by a nanny, grandmother, during “school transportation” they should be classified in the other variables (RL040-050-060) depending on the usual carer. Suggested question: During a usual week how many hours does your child spend in pre-school (or equivalent to a pre-primary service such as Kindergarten or Nursery School)? 0−99 Number of hours of education during a typical week"
RL020,EDUCATION AT COMPULSORY SCHOOL,"Education at compulsory school: “Compulsory” school shall be understood as a mean to separate school from pre-school, but all the school hours must be included; primary and eventually secondary schools shall be included (children up to 12 years old at the day of interview). The meals at (pre-)school shall be included in the number of hours for the usual days the child eats at (pre- )school. If more than 99 hours, the code used is 99. The hours shall be rounded to the nearest hour. If the child spends per week in the compulsory school less than one hour, then one hour should be recorded. Children stay over at primary school during the lunch time: If during the lunch time, children are usually cared for by their mother or father at the school place (or elsewhere), these hours are not counted in the variables of childcare since their parents are present. If during lunch time they are usually cared for by other parents at the school place (or elsewhere), these should be classified in RL060 (if parents not paid). If during lunch time they are usually cared for by somebody belonging to the school organisation (e.g., canteen), the hours are classified in RL010/RL020. If during lunch time they are usually cared for by a nanny, grandmother,…, they should be classified in the other variables (RL040-050-060) depending on the usual carer. School transportation: The time spent on “school transportation” should be included in RL010/RL020 if someone belonging to the school organisation is taking care of the children during school transportation. If children are usually cared for by a nanny, grandmother,…, during  “school transportation” they should be classified in the other variables (RL040-050-060) depending on the usual carer. In 2021 online lessons should not be included. Only number of hours a child spends in school (including during ‘school transportation’ and lunch break) during a typical week. If a typical week is not possible to establish due to different COVID- 19 measures and consequently hours vary considerably from week to week or month to month the average of the hours actually in school per week over the past four weeks could be used. Suggested question: During a usual week how many hours does your child spend in compulsory school (primary or secondary school)? 0−99 Number of hours of education during a typical week"
RL030,CHILDCARE AT CENTRE-BASED SERVICES,"This variable concerns only those children who are at pre-school or at school in the childcare reference period (RL010>0 or RL020>0). Centre-based services outside (pre-)school hours: only the hours of care before and after school should be reported. For example, a school-going child who does not go to school on Wednesday and who is cared for by a day-care centre: these hours of care shall be reported in RL040. The services may be on the school premises or elsewhere. Cultural and sporting activities outside school (here after school hours) such as a club, music lessons, etc. shall not be included as far as they are not used as a childcare service but rather for the child’s leisure. The hours shall be rounded to the nearest hour. If less than one hour, then one hour is coded. For children attending school in the morning and a centre in the afternoon, the hours in the centre are coded as RL030 (before/after school for school going children). Suggested question: During a usual week how many hours does your child spend at a centre - based child service outside school hours (before and/or after school even if it is at the school)? 0−99 Number of hours of education during a typical week"
RL040,CHILDCARE AT DAY-CARE CENTRE,"RL040 includes all kind of care organised/controlled by a structure (public, private). This means that the parents and the carer are not the only persons involved in the care, that there are no direct arrangements between the carer and the parents in the sense that there is an organised structure between them (which is often the carer’s employers). For example, a centred-base day care, organised family day care, a crèche, …. The place of the care can be a centre or the carer’s home (e.g. organised family care). This should also include the qualified childminders organised and controlled by a structure, even if they are directly paid by the parents, like the ‘assistante maternelle’ in France. These kinds of care are often delivered within the social welfare system especially for children under the age of three. RL040 corresponds to the care for children too young to be at school (or at pre-school) but also for children attending school (pre-school) and cared for a day per week when school is closed. The care can be full time or part time, even for few hours. Cultural and sporting activities (such as a club) shall not be included in as far as they are not used as a childcare service but instead for the child’s leisure. Special day-care for children with special needs is included. Suggested question: During a usual week how many hours does your child spend at a day-care centre (text. a crèche)? 0−99 Number of hours of education during a typical week"
RL050,CHILDCARE BY A PROFESSIONAL CHILD-MINDER,"In RL050 there are direct arrangements between the carer and the parents; there is no structure which organises or controls the care. Parents are often employers, pay the carer directly, but furthermore there are no controls over the qualification of the childminder by an organised structure. “Professional” childminder shall be understood as a person for whom looking after the child represents a job of work or paid activity. The term “professional” does not content a notion of qualification or of quality of the care. Babysitters and “au pairs” are also included here. The care can be at the child’s home or at the childminder’s home. RL060: RL060 refers to unpaid care (free or informal arrangements such as exchange of services). Difference between RL050 and RL060: RL050 globally refers to paid care (with rare exceptions, e.g. “au pairs” are not always paid with money but paid in kind, if the parents receive benefits which cover the amount of the care, the care is considered here as a paid care) whereas RL060 refers to unpaid care (free or exchange of services). Example: if a neighbour or a friend is the carer and if he is paid for that, then the number of hours of care shall be reported in RL050. The care can be at the child’s home or at the relative, friend or neighbour’s home. Children up to 12 years old at the day of interview. If more than 99 hours, the code used is 99. The hours shall be rounded to the nearest hour. If the child spends less than one hour in childcare, then one hour should be recorded. Children stay over at pre-school and primary school during the lunch time: If during the lunch time, children are usually cared for by their mother or father at the school place (or elsewhere), these hours are not counted in the variables of childcare since their parents are present. If during lunch time they are usually cared for by other parents at the school place (or elsewhere), these should be classified in RL060 (if parents not paid). If during lunch time they are usually cared for by somebody belonging to the school organisation (e.g. canteen), the hours are classified in RL010/RL020. If during lunch time they are usually cared for by a nanny, grandmother,…, they should be classified in the other variables (RL040-050-060) depending on the usual carer. School transportation: The time spent on “school transportation” should be included in RL010/RL020 if someone belonging to the school organisation is taking care of the children during school transportation. If children are usually cared for by a nanny, grandmother,…, during “school transportation” they should be classified in the other variables (RL040-050-060) depending on the usual carer. 0−99 Number of hours of education during a typical week"
RL060,"CHILDCARE BY GRAND-PARENTS, HOUSEHOLD","RL060 refers to unpaid care (free or informal arrangements such as exchange of services). In RL050 there are direct arrangements between the carer and the parents; there is no structure which organises or controls the care. Parents are often employers, pay the carer directly, but furthermore there are no controls over the qualification of the childminder by an organised structure. “Professional” childminder shall be understood as a person for whom looking after the child represents a job of work or paid activity. The term “professional” does not content a notion of qualification or of quality of the care. Babysitters and “au pairs” are also included here. The care can be at the child’s home or at the childminder’s home. Difference between RL050 and RL060: RL050 globally refers to paid care (with rare exceptions; e.g. “au pairs” are not always paid with money but paid in kind, if the parents receive benefits which cover the amount of the care, the care is considered here as a paid care) whereas RL060 refers to unpaid care (free or exchange of services). Example: if a neighbour or a friend is the carer and if he is paid for that, then the number of hours of care shall be reported in RL050. The care can be at the child’s home or at the relative, friend or neighbour’s home. Children up to 12 years old at the day of interview. If more than 99 hours, the code used is 99. The hours shall be rounded to the nearest hour. If the child spends less than one hour in childcare, then one hour should be coded. Children stay over at pre-school and primary school during the lunch time: If during the lunch time, children are usually cared for by their mother or father at the school place (or elsewhere), these hours are not counted in the variables of childcare since their parents are present. If during lunch time they are usually cared for by other parents at the school place (or elsewhere), these should be classified in RL060 (if parents not paid). If during lunch time they are usually cared for by somebody belonging to the school organisation (e.g. canteen), the hours are classified in RL010/RL020. If during lunch time they are usually cared for by a nanny, grandmother,…, they should be classified in the other variables (RL040-050-060) depending on the usual carer. School transportation: The time spent on “school transportation” should be included in RL010/RL020 if someone belonging to the school organisation is taking care of the children during school transportation. If children are usually cared for by a nanny, grandmother,…, during “school transportation” they should be 0−99 Number of hours of education during a typical week"
