Variable	Short_description	Long_description
PY035N	 Net contributions to individual private pension plans 	"Covers discretionary contributions to private pension policies made by the individual, unrelated to employers or the state. Supports retirement, disability, or sickness plans. Net amounts exclude tax and social contributions_159†Personal data (P-file)-125-209.pdf_."
PY050G	 Gross cash benefits or losses from self-employment 	"Includes income from self-owned businesses or freelance activities, including royalties. Calculated as operating profits before taxes or social contributions. Also accounts for business-related expenses and in-kind withdrawals. Losses are recorded as negative values_159†Personal data (P-file)-125-209.pdf_."
PY050N	 Net cash benefits or losses from self-employment 	"Includes income from self-owned businesses or freelance activities, including royalties. Calculated as operating profits before taxes or social contributions. Also accounts for business-related expenses and in-kind withdrawals. Losses are recorded as negative values_159†Personal data (P-file)-125-209.pdf_."
PY080G	 Gross pension from individual private plans 	"Regular annuity or pension income from personal insurance schemes (not employer- or government-based). Treated as property income. Includes pensions due to age, disability, or unemployment. Must be added to disposable and gross household income_159†Personal data (P-file)-125-209.pdf_."
PY080N	 Net pension from individual private plans 	"Regular annuity or pension income from personal insurance schemes (not employer- or government-based). Treated as property income. Includes pensions due to age, disability, or unemployment. Must be added to disposable and gross household income_159†Personal data (P-file)-125-209.pdf_."
PY090G	 Gross unemployment benefits 	"Cash transfers replacing lost income due to unemployment. Includes early retirement for labour reasons, vocational training allowance, and relocation subsidies. Excludes disability pensions and family allowances. Net values exclude taxes and contributions_159†Personal data (P-file)-125-209.pdf_."
PY090N	 Net unemployment benefits 	"Cash transfers replacing lost income due to unemployment. Includes early retirement for labour reasons, vocational training allowance, and relocation subsidies. Excludes disability pensions and family allowances. Net values exclude taxes and contributions_159†Personal data (P-file)-125-209.pdf_."
PY091G	 Unemployment benefits [contributory and means tested] 	Subcomponent of PY090 for benefits granted based on both previous contributions and means-testing. Includes full or partial unemployment benefits tied to both income history and eligibility criteria_159†Personal data (P-file)-125-209.pdf_.
PY092G	 Unemployment benefits [contributory and non means-tested] 	"Benefits based solely on employment-related contributions, without income testing. Applies to workers with sufficient contribution records, independent of their current income or wealth level_159†Personal data (P-file)-125-209.pdf_."
PY093G	 Unemployment benefits [non-contributory and means tested] 	"Cash payments provided to individuals who did not contribute to the social insurance system and whose benefits are conditional on income/wealth. Aimed at mitigating job loss or reintegration challenges. Covers long-term unemployed and includes benefits like severance, resettlement support, and vocational allowances_171†Personal data (P-file)-155-209.pdf_."
PY094G	 Unemployment benefits [non-contributory and non means-tested] 	"Cash payments to unemployed individuals based on non-contributory and universal entitlement, irrespective of income or assets. Includes standard or partial unemployment benefits, vocational training allowances, and redundancy compensations_171†Personal data (P-file)-155-209.pdf_."
PY100G	 Gross old-age benefits 	"Regular income from retirement, including full pensions, early or partial pensions, care allowances, lump-sum retirement grants, and disability payments after retirement age. Includes both public and occupational pensions. Net values exclude tax and social security_171†Personal data (P-file)-155-209.pdf_."
PY100N	 Net old-age benefits 	"Regular income from retirement, including full pensions, early or partial pensions, care allowances, lump-sum retirement grants, and disability payments after retirement age. Includes both public and occupational pensions. Net values exclude tax and social security_171†Personal data (P-file)-155-209.pdf_."
PY101G	 Old-age benefits (Contributory and means-tested) 	Pensions received only if the individual has contributed to a formal scheme and meets income/wealth criteria. May include minimum pension guarantees or top-ups for low-income retirees. Includes early and partial retirement_171†Personal data (P-file)-155-209.pdf_.
PY102G	 Old-age benefits (Contributory and non means-tested) 	Pension income for contributors that is not dependent on income/wealth. Includes standard occupational or statutory pensions with no means-testing. Common in mandatory national schemes_171†Personal data (P-file)-155-209.pdf_.
PY103G	 Old-age benefits (Non-contributory and means-tested) 	Support to older adults who neither contributed to pension schemes nor reached minimum income thresholds. Includes universal minimum pensions for vulnerable elderly people. Access based on financial need_171†Personal data (P-file)-155-209.pdf_.
PY104G	 Old-age benefits (Non-contributory and non means-tested) 	Pensions given to older adults regardless of past contributions or income. Typically universal state pensions or allowances aimed at ensuring basic retirement income_171†Personal data (P-file)-155-209.pdf_.
PY110G	 Gross survivor’s benefits 	"Temporary or permanent income paid to survivors (e.g., spouse, children) of a deceased person, based on a derived right. Includes survivor’s pensions, death grants, and other cash benefits. Excludes funeral grants and unidentifiable employer supplements. Net or gross depending on national context."
PY110N	 Net survivor’s benefits 	"Temporary or permanent income paid to survivors (e.g., spouse, children) of a deceased person, based on a derived right. Includes survivor’s pensions, death grants, and other cash benefits. Excludes funeral grants and unidentifiable employer supplements. Net or gross depending on national context."
PY111G	 Survivor’s benefits [contributory and means-tested] 	Covers benefits provided to survivors based on contributions and subject to means-testing. Follows ESSPROS guidelines. May include pensions or grants based on income/wealth criteria and previous contributions of the deceased.
PY112G	 Survivor’s benefits [contributory and non-means-tested] 	Survivor pensions or lump-sum grants given based solely on prior contributions of the deceased. No income/wealth threshold required. Applies to universal social insurance systems.
PY113G	 Survivor’s benefits [non-contributory and means-tested] 	"Benefits for survivors where eligibility is not tied to contributions but is subject to means-testing. Supports vulnerable groups, especially those without access to contributory schemes."
PY114G	 Survivor’s benefits [non-contributory and non means-tested] 	Universal survivor benefits not linked to contributions or income thresholds. Often flat-rate pensions or grants provided regardless of individual financial or employment history.
PY120G	 Gross sickeness benefits 	"Cash benefits for temporary work incapacity due to illness/injury. Includes paid sick leave, leave for dependent child illness, and related compensation. Excludes pregnancy and disability payments. Paid either by social insurance or employer."
PY120N	 Net sickeness benefits 	"Cash benefits for temporary work incapacity due to illness/injury. Includes paid sick leave, leave for dependent child illness, and related compensation. Excludes pregnancy and disability payments. Paid either by social insurance or employer."
PY121G	 Sickness benefits [contributory and means-tested] 	"Paid during illness or injury, conditional on contribution to social insurance and subject to means-testing. Benefits include sick leave and support for dependent care during illness."
PY122G	 Sickness benefits [contributory and non means-tested] 	"Paid sick leave or similar cash benefits available solely based on contributions to social insurance, not influenced by income/wealth. Typically used in employment-based schemes."
PY123G	 Sickness benefits [non-contributory and means-tested] 	Covers sickness-related benefits granted without prior contributions but conditional on low income/wealth. Intended for individuals outside contributory schemes.
PY124G	 Sickness benefits [non-contributory and non means-tested] 	Sickness benefits available universally without requiring prior contribution or income test. Provided as flat-rate benefits or social protection for uncovered populations.
PY130G	 Gross disability benefits 	"Includes disability pensions, early retirement due to incapacity, care allowances, integration payments, and child disability grants. Excludes sickness, survivor, or old-age payments. Paid to those under retirement age with work-limiting disabilities."
PY130N	 Net disability benefits 	"Includes disability pensions, early retirement due to incapacity, care allowances, integration payments, and child disability grants. Excludes sickness, survivor, or old-age payments. Paid to those under retirement age with work-limiting disabilities."
PY131G	 Disability benefits [contributory and means-tested] 	"Disability income based on social insurance contributions and tested against income or wealth. Includes care allowances, disability pensions, and support for partial work capacity."
PY132G	 Disability benefits [contributory and non means-tested] 	Pensions and care benefits granted to disabled individuals solely based on contributions. Not subject to any income or wealth test. Often part of standard national insurance.
PY133G	 Disability benefits [non-contributory and means-tested] 	Support for disabled individuals based on income/wealth eligibility without requiring insurance contributions. Often for long-term unemployed or early-retired individuals.
PY134G	 Disability benefits [non-contributory and non means-tested] 	"Universal disability support for persons with long-term conditions, regardless of contribution history or income. Includes integration benefits and care allowances."
PY140G	 Gross education related allowances 	"Covers grants, scholarships, and financial aid for education received during the income reference period. These are intended to reduce the financial burden of education-related costs. Provided by government or nonprofit institutions, within or outside formal schemes. Recorded either net or gross, depending on country-specific tax treatment."
PY140N	 Net education related allowances 	"Covers grants, scholarships, and financial aid for education received during the income reference period. These are intended to reduce the financial burden of education-related costs. Provided by government or nonprofit institutions, within or outside formal schemes. Recorded either net or gross, depending on country-specific tax treatment."
PY141G	 Education-related allowances [contributory and means-tested] 	Refers to education support granted based on both prior contributions and income/wealth conditions. Typically offered within social insurance systems where beneficiaries must meet income eligibility. Includes student grants and top-up supports.
PY142G	 Education-related allowances [contributory and non means-tested] 	Educational assistance granted within contributory schemes but regardless of the student’s income or wealth. Often provided by employers or government for students meeting contribution criteria.
PY143G	 Education-related allowances [non-contributory and means-tested] 	"Education support given without a requirement for prior contributions, but subject to income and/or wealth limits. Targets low-income students or households to ensure access to education."
PY144G	 Education-related allowances [non-contributory and non means-tested] 	Universal education assistance granted without requiring contributions or income testing. May include state-sponsored basic student stipends or allowances offered to all enrolled students.
PL230	 Public/private employment sector 	"Categorizes the employment sector of the respondent's main job: public, private, or mixed. Based on the identity of the employer, in accordance with OECD standards. Used to assess labour market segmentation."
PW100	 Job satisfaction 	"Measures self-reported satisfaction with the respondent’s main job on a scale from 0 (not at all satisfied) to 10 (completely satisfied). Reflects perceptions about tasks, workplace conditions, pay, and job security."
PL260	 Usual hours worked per week 	"Number of hours usually worked per week during the income reference period, including all paid and unpaid overtime, but excluding commuting and main meal breaks. Applies to all jobs held."
PL130	 Size of the local unit for main job 	"Number of people employed in the respondent’s local work unit, including the respondent. Reported using grouped categories (e.g., 1–9, 10–19, etc.). Used to assess workplace size."
PL035	 Worked at least one hour during the previous week 	"Indicates whether the person did at least one hour of paid work or profitable activity during the reference week. Includes formal employment, self-employment, and unpaid family work."
PL025	 Available for work 	"Reports whether the person could start work within two weeks if a job were available. Assesses labour force availability, excluding those already employed."
PL020	 Actively looking for job 	"Indicates whether the person has used active methods to find work in the past four weeks, such as contacting employers or agencies, studying job ads, or preparing a business."
PL120	 Reason for working less than 30 hours 	"Captures the main reason for working under 30 hours per week, such as education, illness, family responsibilities, or voluntary part-time work. Highlights underemployment."
PL280	 Length of registration of unemployment 	"Indicates whether the respondent was registered as unemployed for all, part, or none of their unemployment spell. Applies only to those reporting unemployment."
PE030	 Year when highest level of education was attained 	"Year in which the respondent successfully completed their highest level of formal education. Four-digit year value, derived from education history."
PE050	 Education interrupted or abandoned 	Reports whether the respondent aged 16–34 ever started but did not complete a formal education programme. Includes changes of study field and long interruptions.
HS160	" Problems with the dwelling: too dark, not enough light"	Assesses whether the dwelling lacks sufficient daylight in most rooms. Based on respondent's perception of darkness during a sunny day.
HS170	 Noise from neighbours or from the street 	"Captures problems related to noise from neighbours or external sources (traffic, factories). Aims to assess environmental disturbance."
HC020	 Size of the dwelling in square metREs 	"Reports the usable floor space of the dwelling, measured inside the outer walls. Excludes non-habitable and shared spaces unless estimated."
HC080	 Overall satisfaction with the dwelling 	"Reflects household’s satisfaction with their main dwelling, taking into account space, price, location, and amenities. Rated from very dissatisfied to very satisfied."
HY030	 Imputed rent 	"Estimated rental value for owner-occupied or subsidized housing, net of minor repairs. Calculated using market-based models. Used in income analysis."
HH040	" Leaking roof, damp walls/floors/foundation, or rot in window frames or floor "	Indicates presence of physical issues like a leaking roof or rotting window frames in the dwelling. Captures structural housing quality.
HS140	 Financial burden of the total housing cost 	"Subjective evaluation of how burdensome the household's actual housing costs (rent/mortgage, maintenance) are. Categorized as heavy, slight, or none."
HS180	" Pollution, grime or other environmental problems "	"Assesses perceived problems such as air pollution, dust, odors, or water pollution in the respondent’s local area. Based on self-reported conditions."
HS190	" Crime, violence or vandalism in the area "	"Evaluates whether respondents perceive crime, vandalism, or violence to be an issue in their neighborhood."
HH081	 Bath or shower in dwelling (OPTIONAL) 	Reports whether the household has exclusive or shared access to a bath or shower inside the dwelling. Optional indicator of basic amenities.
HH091	 Indoor flushing toilet for sole use of the household (OPTIONAL) 	"Indicates whether the household has access to an indoor toilet with a flushing system, either exclusive or shared, within the dwelling. This variable helps monitor basic housing amenities and living standards. It is optional, meaning that reporting may vary by country, and it’s typically used as part of the EU’s social inclusion and material deprivation indicators."
PT220	 Type of household when respondent was around 14 years old 	Respondent's type of household at age 14: private or collective/institutional. Used to define living environment during adolescence.
PT230	 Presence of mother when respondent was around 14 years old 	"Whether the mother (or mother figure) lived with the respondent at age 14, had contact, or was deceased."
PT240	 Presence of father when respondent was around 14 years old 	"Whether the father (or father figure) lived with the respondent at age 14, had contact, or was deceased."
PT070	 Citizenship of the father (OPTIONAL) 	"Legal citizenship of the father when the respondent was around 14 years old, coded using SCL GEO alpha-2."
PT100	 Citizenship of the mother (OPTIONAL) 	"Legal citizenship of the mother when the respondent was around 14 years old, coded using SCL GEO alpha-2."
PT110	 Highest level of education attained by the father 	"Highest level of education attained by the father before or during the time the respondent was 14, based on ISCED 2011."
PT120	 Highest level of education attained by the mother 	"Highest level of education attained by the mother before or during the time the respondent was 14, based on ISCED 2011."
PT130	 Activity status of the father when respondent was around 14 years old 	"Main activity of the father when respondent was 14: employed, retired, unemployed, inactive, etc."
PT160	 Activity status of the mother when respondent was around 14 years old 	"Main activity of the mother when respondent was 14: employed, retired, unemployed, inactive, etc."
PT150	 Main occupation of the father when respondent was around 14 years old (OPTIONAL)	Main job of the father (or father figure) coded by ISCO-08 when the respondent was 14.
PT180	 Main occupation of the mother when respondent was around 14 years old (OPTIONAL)	Main job of the mother (or mother figure) coded by ISCO-08 when the respondent was 14.
PT210	 Tenancy status when respondent was around 14 years old 	"Housing tenure status of the respondent’s household at age 14: owned, rented, or provided free."
PT190	 Financial situation of the household when respondent was around 14 years old 	"Self-assessed financial situation of the household when respondent was 14, from very bad to very good."
PT260	 Basic school needs (books and equipment for school) met when respondent was around 14 years old 	"Whether all children in the household had their basic school needs (books, equipment) met when respondent was 14."
PT270	" Having daily meal with meat, chicken, fish (or vegetarian equivalent) when respondent was around 14 years old "	"Whether all children had at least one daily meal with meat, fish, or vegetarian equivalent when respondent was 14."
PT280	 One week of annual holiday away from home when respondent was around 14 years old 	Whether all children in the household had at least one week of annual holiday away from home.
PHD01	 Past experience of housing difficulties 	"Whether the respondent ever lacked their own housing and stayed with others, in shelters, or slept rough."
PHD07	 When housing difficulties took place (OPTIONAL) 	Whether the housing difficulties occurred within the last 5 years or earlier.
PHD02	 Duration of the most recent experience of housing difficulties (OPTIONAL) 	Duration (in months) of the most recent housing difficulty period.
PHD03	 Main reason for past housing difficulties 	"Respondent’s view of the primary cause of past housing difficulties (e.g., health, financial, relationship)."
PHD05	 Exit from housing difficulties 	"Main reason the respondent exited housing difficulties (e.g., employment, housing support, family support)."
PHD06	 Renting difficulties 	Whether the respondent had financial difficulties paying rent on time without borrowing or taking loans.
HC001	 Heating system used 	"Identifies the type of main heating system used in the dwelling: district heating, central heating, individual heating (e.g., stove, boiler), non-fixed heating (e.g., portable electric radiator), or no heating at all. Selected based on the system most commonly used, particularly during colder months."
HC002	 Main energy source 	"Determines the primary energy source for heating the dwelling. Includes electricity, gas (natural or propane), oil, biomass, wood logs, coal, renewable energy (e.g., solar, heat pump), or other. Should reflect the dominant source serving most of the dwelling."
HC003	" Renovation (thermal insulation, windows or heating system) "	"Reports whether the dwelling underwent energy-related renovation (thermal insulation, window replacement, or heating system update) in the last 5 years. Values reflect the number of types of renovation measures taken: one, two, three or more."
HC060	 Inability to keep the dwelling comfortably warm during winter 	"Indicates whether the dwelling can remain comfortably warm in winter based on heating system and insulation quality, regardless of affordability. This differs from HH050, which relates to financial means."
HC070	 Inability to keep the dwelling comfortably cool during summer (OPTIONAL) 	"Captures whether the dwelling is adequately cool during summer based on insulation and cooling systems. Financial capability is not considered. If the respondent compensates with extra cooling devices, the answer is 'no'."
HC004	 Type of windows (OPTIONAL) 	"Specifies glazing type of windows in the dwelling: only single, only double, triple or more, mixed single/double/triple. Helps assess energy efficiency potential."
HC005	 Year of construction (OPTIONAL) 	"Refers to the year the dwelling was completed or last extensively renovated (e.g., insulation, roof, systems replaced). Grouped into intervals from 'before 1945' to '2021 or after'."
HI012	 Change in income as an outcome of COVID-19 (OPTIONAL) 	Indicates whether the respondent attributes the change in household income (reported in HI010) to the COVID-19 pandemic. Applies regardless of whether income increased or decreased.
HY150	 Financial support (government funded) from the COVID-19 related support schemes (OPTIONAL) 	Reports whether the household received any COVID-19-related financial support funded by the government. Includes direct transfers and allowances targeting specific groups or needs.
HY155G	 Amount received as financial support from the COVID-19 related support schemes (OPTIONAL) 	"Gross amount (before tax) of government-funded COVID-19-related financial support received by the household. Includes employee, self-employed, housing, or family benefits."
HD225	 Distance learning courses/school during COVID-19 restrictions (OPTIONAL) 	"Whether children aged 5–17 in the household were able to attend distance/online education during COVID-19 lockdowns. Assesses access to equipment, internet, and schooling continuity."
PL220	 Working from home during pandemic (OPTIONAL) 	"Indicates whether the respondent worked from home due to COVID-19, and if not, the main reason (e.g., job type not suitable, technical limitations)."
PH051	 Unmet need for medical examination or treatment due to COVID-19 crisis (optional)	Reports whether the respondent had to postpone planned medical care (non-urgent procedures or checkups) due to COVID-19-related disruptions.
PH071	 Unmet need for dental examination or treatment due to COVID-19 crisis (Optional) 	Reports whether the respondent had to postpone planned dental treatment due to restrictions or health concerns related to COVID-19.
PMH010	 Mental health affected by the COVID-19 crisis (Optional) 	"Self-reported impact of the COVID-19 pandemic on mental health. Respondents rate whether their mental well-being was negatively affected, unaffected, or improved."
RL080	 Remote education (Optional) 	Reports the number of hours a child (aged ≤12) spends in remote education per week. Only direct learning time with a teacher—via video or recordings intended for educational purposes—is included. Excludes homework and casual viewing of unrelated content. Introduced as optional in 2022.
HI130G	 Interest expenses [not including interest expenses for purchasing the main dwelling] (OPTIONAL) 	"Captures gross interest paid by the household on bank loans, student loans, or loans for items such as vehicles, holidays, or secondary dwellings. Excludes repayments, mortgage interest for the main residence (HY100), and interest on arrears or earnings from deposits. Introduced as optional in 2021."
HI140G	 Household debts (OPTIONAL) 	"Reflects the total outstanding debt of the household, including secured (e.g., car loans, second home mortgages) and unsecured loans (e.g., credit card, student loans), excluding the main residence. Introduced as optional in 2021. Excludes taxes owed or fines."
