Variable Name,Short Description,Long Description (Summarized)
RL030,CHILDCARE AT CENTRE-BASED SERVICES,"Suggested question: During a usual week how many hours does your child spend at a centre - based child service outside school hours (before and/or after school even if it is at the school)? 0−99 Number of hours of education during a typical week. For children attending school in the morning and a centre in the afternoon, the hours in the centre are coded as RL030 (before/after school for school going children)."
RL040,CHILDCARE AT DAY-CARE CENTRE,"This means that the parents and the carer are not the only persons involved in the care, that there are no direct arrangements between the carer and the parents in the sense that there is an organised structure between them (which is often the carer’s employers). RL040 corresponds to the care for children too young to be at school (or at pre-school) but also for children attending school (pre-school) and cared for a day per week when school is closed."
RL050,CHILDCARE BY A PROFESSIONAL CHILD-MINDER,"Children stay over at pre-school and primary school during the lunch time: If during the lunch time, children are usually cared for by their mother or father at the school place (or elsewhere), these hours are not counted in the variables of childcare since their parents are present. “au pairs” are not always paid with money but paid in kind, if the parents receive benefits which cover the amount of the care, the care is considered here as a paid care) whereas RL060 refers to unpaid care (free or exchange of services)."
RL060,"CHILDCARE BY GRAND-PARENTS, HOUSEHOLD","Children stay over at pre-school and primary school during the lunch time: If during the lunch time, children are usually cared for by their mother or father at the school place (or elsewhere), these hours are not counted in the variables of childcare since their parents are present. “au pairs” are not always paid with money but paid in kind, if the parents receive benefits which cover the amount of the care, the care is considered here as a paid care) whereas RL060 refers to unpaid care (free or exchange of services)."
RL070,CHILDRENS’ CROSS-SECTIONAL WEIGHT FOR,"𝐷𝑛= children aged n at the day of interview (n=0 to 12)49 Children’s cross-sectional weight for 𝐷𝑛 (n= 0 to 12): 𝑤𝑖= 𝑤′𝑖* 𝑁𝑛/𝑁′𝑛 𝑤′𝑖= personal cross-sectional weight for the child ‘i’ 𝑁′𝑛= sum of personal cross-sectional weights for children aged n at the day of interview in the database 𝑁𝑛= number of children in the demographic population aged n at the 31/12/N-1 (estimated from external source) (Children at the end of income reference period). This involves the adjustment of personal cross-sectional weights so as to make the distribution, according to age characteristics, of the children covered in the sample tally with the same information from a more reliable external source (age distribution of children aged 0 to 12 in private households)."
PB010,YEAR OF THE SURVEY,"Year in which the survey data collection, or most of the collection, is carried out."
PB020,COUNTRY OF RESIDENCE,"To the extent to which all possible participants in a specific social micro data-collection need to be usual residents, the country of residence of all the reporting units should correspond with the reporting country. The list of countries is defined according to the Eurostat Standard Code list (SCL) GEO which is largely based on the International Organization for Standardization (ISO) 3166 country codes (3166-1 alpha-2)."
PB030,PERSONAL ID,"Personal ID (maximum eleven digits) = Household ID (maximum nine digits) + personal number (two digits) Personal number: for every new person in the household add 1 to the highest-used personal number (for all the years of the survey and the Household ID). In the case of a fusion of two sample households, if the new household remains at a previous address, it must retain the household number and split number of the household that was at that address in the previous wave."
PB040,PERSONAL CROSS-SECTIONAL WEIGHT [ALL,0+ (format 2.5) Weight (see the required format) 1 -7 Filled Not applicable (PB010 ≠ last year of operation). These weights had to be coded with two integers and five decimals.
PB050,PERSONAL BASE WEIGHT [ALL HOUSEHOLD,These weights had to be coded with two integers and five decimals. See the construction of weights in the chapter titled Weights.
PB060,PERSONAL CROSS-SECTIONAL WEIGHT FOR,0+ (format 2.5) Weight (see the required format) 1 -2 -3 -7 Filled Not applicable (country does not use the selected respondent model) Not applicable (Non-selected respondent (RB245 equal to 3)) Not applicable (PB010 ≠ last year of operation). These weights had to be coded with two integers and five decimals.
PB070,PERSONAL DESIGN WEIGHT FOR SELECTED,0+ (format 2.5) Weight (see the required format) 1 -2 -3 Filled Not applicable (country does not use the selected respondent model) Not applicable (Non-selected respondent (RB245 equal to 3)). These weights had to be coded with two integers and five decimals.
PB080,PERSONAL BASE WEIGHT FOR SELECTED,0+ (format 2.5) Weight (see the required format) 1 -2 -3 Filled Not applicable (country does not use the selected respondent model) Not applicable (Non-selected respondent (RB245 equal to 3)). These weights had to be coded with two integers and five decimals.
PB090,DAY OF THE PERSONAL INTERVIEW,‘The date of the personal interview’ is the date when the household member aged 16 and over or the selected respondent were interviewed. 1− 31 Day 1 -1 -3 Filled Missing Not applicable (Non-selected respondent (RB245 equal to 3)).
PB100,MONTH OF THE PERSONAL INTERVIEW,The month of the personal interview is the month when the household members aged 16 and over or the selected respondent were interviewed. 1− 12 Month 1 -1 -3 Filled Missing Not applicable (Non-selected respondent (RB245 equal to 3)).
PB110,YEAR OF THE PERSONAL INTERVIEW,The year of the personal interview is the year when the household members aged 16 and over or the selected respondent were interviewed. years (Four digits) 1 -1 -3 Filled Missing Not applicable (Non-selected respondent (RB245 equal to 3)).
PB120,MINUTES TO COMPLETE THE PERSONAL,1−90 Minutes 1 -1 -2 -3 Filled Missing Not applicable (RB250 equal to 12 or 14) Not applicable (Non-selected respondent (RB245 equal to 3)). Number of minutes to complete the person questionnaire.
PB140,YEAR OF BIRTH,− 1900 − year of the survey.
PB150,SEX,"In cases where the biological sex of a person is not known, the information may be replaced by either the information from administrative data or the self-declared sex (survey data) (See RB090 description).. Sex is the combination of biological and physiological characteristics that define a person to be either male or female."
PB160,FATHER ID,"In the case of same-sex couples, the notion of father and mother can be replaced by parent 1 and parent 2 (in such situations a data checking error will be listed and it should be ignored). It corresponds with the RB030 generated as: Personal ID = Household ID + personal number (two digits)."
PB170,MOTHER ID,"In the case of same-sex couples, the notion of mother and father can be replaced by parent 1 and parent 2 (in such situations a data checking error will be listed, and it should be ignored). It corresponds with the RB030 generated as: Personal ID = Household ID + personal number (two digits)."
PB180,SPOUSE/PARTNER ID,In such cases when a spouse or partner is not a household member then the respective flag for the variable should be marked as code ‘-2’. 1 -1 -2 Filled Missing Not applicable (person has no spouse/partner or spouse/partner is not a household member).
PB190,MARITAL STATUS,"Such information must also be treated in the same way, and it is proposed to treat them as married and to classify them under code 2 when the partnership still exists. It therefore does not necessarily correspond with the actual situation of the household in terms of co-habitation, arrangements, etc."
PB200,CONSENSUAL UNION,"It therefore does not necessarily correspond with the actual situation of the household in terms of co-habitation, arrangements, etc. Marital status is the conjugal status of each individual in relation to the marriage laws of the country (i.e., de jure status)."
PB205,PARTNERS LIVING IN THE SAME HOUSEHOLD,"In the cases when a separate question is used to get the information on whether a person is living or not with a (legal or de facto) partner, the recommended question is the following: “Are you living with a partner in the same household?” The wording of the question may be adapted so that the different cases of partner relationships – legal (husband/wife/civil partner) or de facto (partner/cohabitee) – can be covered.. In other words, a person who has a partner living in a different household (persons living apart together) should be classified as ‘person not living with a legal or de facto partner’."
PB230,COUNTRY OF BIRTH OF FATHER,"the country of usual residence (in its current borders, if the information is available) of the mother of the person’s father at the time of the delivery, or, failing this, the country (in its current borders, if the information is available) in which the birth of the person’s father took place. For a person who has both a natural (biological) father and an adoptive or stepfather, the country of birth should refer to who actually raised the person and acted as father in an affective or legal sense, e.g."
PB240,COUNTRY OF BIRTH OF MOTHER,"The variable reports on the country of birth of the person's mother, i.e., the country of usual residence (in its current borders, if the information is available) of the maternal grandmother of the person at the time of her delivery, or, failing that, the country (in its current borders, if the information is available) where the birth of the person's mother took place. the country of usual residence (in its current borders, if the information is available) of the maternal grandmother of the person at the time of the delivery, or, failing that, the country (in its current borders, if the information is available) where the birth of the person's mother took place."
PB260,NATURE OF PARTICIPATION IN THE SURVEY,"A situation where the designated respondent is unable to provide the requested information by him/herself (e.g., due the illness, disability, or language barrier) but is able to do so with assistance of another person and to validate the answers provided, is considered as direct participation. The variable reports on whether the information requested has been provided by the designated respondent (i.e., direct participation), or via another person (proxy respondent, i.e., indirect participation)."
PB265,PERSONAL ID OF PERSON WHO FILLED IN THE,1 -1 -2 -7 Filled Missing Not applicable (PB260 not equal to 2) Not applicable (PB010 < 2021). The personal ID of the person who provided the information should be recorded.
PB270,INTERVIEWING MODE USED (PERSON),"For example, in a situation where a person has been first contacted by phone and some data (main part) has been collected via computer assisted web-interview (CAWI) but the missing data (remaining part) is collected at a later stage via computer assisted personal interview (CAPI), the variable should report on CAWI as the interviewing mode used. In cases where administrative and survey data and/or different interviewing modes are combined, you should keep the information on the data collection mode and on the interviewing mode used at the variable level."
PE010,PARTICIPATION IN FORMAL EDUCATION AND,"An educational programme, as defined under ISCED-2011, is “A coherent set or sequence of educational activities designed and organised to achieve pre-determined learning objectives or accomplish a specific set of educational tasks over a sustained period” (UNESCO Institute for Statistics, 2012, p. This includes modules (short programmes/courses) which may be part of a longer regular education programme that are taken and completed, providing graduates with the corresponding academic credit, independent of whether the person continues to complete the full programme or not."
PH010,SELF-PERCEIVED GENERAL HEALTH,"(50) As a reference for translating answer categories for PH010 model question official translations of Commission Regulation (EU) No 141/2013 of 19 February 2013 implementing Regulation (EC) No 1338/2008 of the European Parliament and of the Council on Community statistics on public health and health and safety at work, as regards statistics based on the European Health Interview Survey (EHIS) (Annex I) can be used: http://eur- lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32013R0141:EN:NOT. self-perceived general health, long-standing health problem, and limitation in activities because of health problems) and with no inclusion of any other health status related questions before or between the MEHM questions as it could have an impact on the results."
PH020,SUFFER FROM ANY CHRONIC [LONG-STANDING],"This means that the following could be considered as long-standing health problems (i.e., the corresponding option for an answer would be 'yes'): • problems that are seasonal or intermittent, even where they ‘flare up’ for less than six months at a time (for instance allergies); • chronic problems not considered by the respondent as very serious; severity doesn't play a role in this variable; • problems that have not been diagnosed by a doctor (to exclude these would mean permitting those with better access to medical services to declare more problems); • a long-standing disease that doesn't bother the respondent and/or is kept under control with medication (for instance people with a high blood pressure);. self-perceived general health, long-standing health problem, and limitation in activities because of health problems) and with no inclusion of any other health status related questions before or between the MEHM questions as it could have an impact on the results."
PH030,LIMITATION IN ACTIVITIES BECAUSE OF HEALTH,"self-perceived general health, long-standing health problem, and limitation in activities because of health problems) and with no inclusion of any other health status related questions before or between the MEHM questions as it could have impact on results. It measures the respondent’s self-assessment of whether he/she is limited (in ‘activities people usually do’) by any on-going physical, mental or emotional health problem, including disease or impairment, and old age."
PH040,UNMET NEED FOR MEDICAL EXAMINATION OR,"Medical care refers to individual healthcare services (medical examination or treatment) provided by or under direct supervision of medical doctors (ISCO-08 code 221 group on general and specialist medical practitioners), traditional and complementary medical professionals (ISCO-08 code 2230) or equivalent professions according to national healthcare systems. From 2015 onwards The purpose of the variable is to capture the restricted access to medical care according to the person’s own assessment of whether he or she needed medical examination or treatment, but did not get it, experienced a delay in getting it or did not seek for it."
PH050,MAIN REASON FOR UNMET NEED FOR MEDICAL,"It is recommended that the question is implemented in the following way: PH040_Q1: Was there any time during the last 12 months when you really needed a medical examination or treatment (excluding dental) for yourself?. For example, a national healthcare system guaranties regular preventive medical check-ups but the respondent is not able to make an appointment and perceives the situation as jeopardising his/her health."
PH060,UNMET NEED FOR DENTAL EXAMINATION OR,It is recommended that the question is implemented in the following way: PH060_Q1: Was there any time during the last 12 months when you really needed a dental examination or treatment for yourself? Yes (I really needed at least at one occasion dental examination or treatment )  1 No (I did not need any dental examination or treatment)  2 FILTER: If PH060_Q1 = 1 then GO TO PH060_Q2. PH060_Q2: Did you have a dental examination or treatment each time you really needed? Yes (I had a dental examination or treatment each time I needed)  1 No (there was at least one occasion when I did not have a dental examination or treatment)  2 FILTER: If PH060_Q2 = 2 then GO TO PH070_Q1.
PH070,MAIN REASON FOR UNMET NEED FOR DENTAL,"It is recommended that the question is implemented in the following way: PH070_Q1: What was the main reason for not having a dental examination or treatment? Could not afford to (too expensive)  1 Waiting list  2 Could not take time because of work, care for children or for others  3 Too far to travel or no means of transportation  4 Fear of dentists, hospitals, examination or treatment  5 Wanted to wait and see if problem got better on its own  6 Did not know any good dentist  7 Other reasons  8 Recommendations on the model question(s): • To follow the proposed order of the answer options. • All the answer options should be read out during the interview (to be sure that the main reason is answered based on all possible options)."
PD020,REPLACE WORN-OUT CLOTHES BY SOME NEW,"Suggested question: Could you tell me if you can replace worn-out clothes by some new (not second-hand) ones? Please mark. The focus is on the replacement of the worn-out clothes by some new clothes e.g., suits, winter coats, pants."
PD030,TWO PAIRS OF PROPERLY FITTING SHOES,"Suggested question: Do you have two pairs of shoes in a good condition that are suitable for daily activities? (Note: Two pairs of properly fitting shoes, suitable for daily activities including a pair of all-weather shoes) Please mark. The concept of shoes has to be understood in a broad sense and adapted to the climatic conditions of the countries concerned (including both boots and sandals)."
PD050,GET-TOGETHER WITH FRIENDS/FAMILY,"To get together for a drink/meal: To get-together for a drink/meal means spending time eating and/or drinking with friends or family (relatives) at home or elsewhere (restaurant, pub, etc.). This formulation is thought to be more adapted in a cross-national perspective because having friends at home is not the main way to have social relation in all countries."
PD060,REGULARLY PARTICIPATE IN A LEISURE,"These activities would incur costs for entrance and/or travel costs (e.g., swimming), for purchase costs (e.g., riding a bicycle) or for participating in organised events (e.g. Regularly: The term ‘regularly’ is linked to the repeated activity (ies) and is to be self-defined by the respondent."
PD070,SPEND A SMALL AMOUNT OF MONEY EACH,"To spend a small amount of money on yourself means to freely spend money, to buy/do something for yourself, for your own pleasure e.g., to go to the movies, to buy a small object, to buy a magazine, a small book, a cake, an ice-cream in summer or other small things to eat, to go to the hairdresser, etc. Suggested question: ‘Do you spend a small amount of money most weeks on yourself, for your own pleasure (buying/doing something for yourself)?’."
PD080,INTERNET CONNECTION FOR PERSONAL USE AT,"Examples of internet activities for personal use: social networking, sending/receiving emails, using services related to travel and accommodation, creating web pages, blogs, internet banking, reading or downloading online music, video, news etc., looking for information, telephoning or making video calls, buying/selling goods or services, taking part in online consultations or voting on civil or political issues etc. The household member is considered to have an internet connection for personal use at home only if all the needs for personal use are fully fulfilled by this connection."
PW010,OVERALL LIFE SATISFACTION,"The suggested question is: Overall, how satisfied are you with your life these days? Please answer (circle) on a scale of 0 to 10, where 0 means not at all satisfied and 10 means completely satisfied. The intent is not to obtain the emotional state of the respondent at the given moment but for them to make a reflective judgement on their level of satisfaction."
PW191,TRUST IN OTHERS,"Suggested question: ‘Would you say that most people can be trusted?’ ‘To what extent do you trust other people?’ Please answer (circle) on a scale from 0 to 10, where 0 means that in general you do not trust any other person and 10 that you feel most people can be trusted. Do not trust at all 0-----1-----2------3-----4-----5-----6-----7-----8-----9-----10 Trust completely (with the order 0 to 10 and not 10 to 0)."
PL016,EXISTENCE OF PREVIOUS EMPLOYMENT,"53 See 19th ICLS resolution concerning statistics of work, employment and labour underutilization http://www.ilo.org/global/statistics-and-databases/standards-and-guidelines/resolutions-adopted-by-international- conferences-of-labour-statisticians/WCMS_230304/lang--en/index.htm. By contrast, persons who only have vacation work which lasted less than three months over the course of only one year should be considered as has having employment experience limited to occasional work."
PL032,SELF-DEFINED CURRENT ECONOMIC STATUS,The concept of ‘current’ implies that any definitive changes in (54) An agreement was reached during the Living Conditions Working Group meeting in June 2008 that the variable PL030 will be replaced by the variable PL031 with slightly different answering categories in order to harmonise labour variables. The self-declared current ‘main activity status’: the main status refers to the current situation (situation at the moment of the data collection/interview).
PL060,NUMBER OF HOURS USUALLY WORKED PER,"This covers all hours including extra hours, either paid or unpaid, which the person normally works, but excludes the travel time between the home and the place of work as well as the main meal break (normally taken at midday). In the case of teachers, hours worked should be considered as the hours of teaching, those dedicated to preparation of classes, study, research as well as hours of compulsory attendance in the centre of studies."
PL073,NUMBER OF MONTHS SPENT IN FULL-TIME WORK,"The same holds if the person has a main job as an employee and an additional ""small"" (in terms of hours) second job as a self-employed person, both jobs being remunerated in what would be considered, together, as the remuneration for a full-time equivalent role. By checking the answer with the number of hours usually worked, it should be possible to detect and even to correct implausible answers, since part-time work will rarely exceed 35 hours, while full-time work will usually start at about 30 hours."
PL074,NUMBER OF MONTHS SPENT IN PART-TIME,"The same holds if the person has a main job as an employee and an additional ""small"" (in terms of hours) second job as a self-employed person, both jobs being remunerated in what would be considered, together, as the remuneration for a full-time equivalent role. On the basis of this principle, the following rules may be used: If the respondent worked part-time, at least two weeks of the month, then variables; PL074 ‘Number of months spent in part-time work as employee’ should be filled."
PL075,NUMBER OF MONTHS SPENT IN FULL-TIME WORK,"On the basis of this principle, the following rules may be used: If the respondent worked as self-employed, at least two weeks of the month, then PL075 ‘Number of months spent in full-time work as self-employed (including family worker)’ and/or PL076 ‘Number of months spent in part-time work as self- employed (including family worker’ should be filled in. The same holds if the person has a main job as an employee and an additional ""small"" (in terms of hours) second job as a self-employed person, both jobs being remunerated in what would be considered as the remuneration for a full-time equivalent role."
PL076,NUMBER OF MONTHS SPENT IN PART-TIME,"On the basis of this principle, the following rules may be used: If the respondent worked as self-employed, at least two weeks of the month, PL075 ‘Number of months spent in full-time work as self-employed (including family worker)’ and/or PL076 ‘Number of months spent in part- time work as self-employed (including family worker’ should be filled in. Members of producer co-operatives should be considered as self-employed if in the co-operative, each member takes part on an equal footing with other members in determining the organisation of production, sales and/or other work of the establishment, the investments and the distribution of the proceeds of the establishment among their members."
PL080,NUMBER OF MONTHS SPENT IN UNEMPLOYMENT,"Early retirement for economic reasons can be included as unemployed according to the respondent's perception i.e., a person in early retirement for economic reasons will be included as unemployed if they classify themselves as being unemployed. For the selected respondent countries, or when this is not possible, part of the information can be derived (selected respondent 16+) and part of it can be asked through interview (other household members aged 16+)."
PL085,NUMBER OF MONTHS SPENT IN RETIREMENT,"If early retirement for economic reasons and according to the respondent's perception, they include themselves as unemployed then the early retirement for economic reasons should be included as unemployed if they classify themselves as being unemployed. However, early retirement due to economic reasons is classified according to the respondent's feeling, i.e., a person in early retirement for economic reasons will be included here only if they classify themselves as being retired."
PL086,NUMBER OF MONTHS UNABLE TO WORK DUE TO,"Persons who have not reached retirement age but are unable to work due to health reasons or disabilities for a longer or undetermined time can choose based on self-assessment, the category unable to work due to long-standing health problems. Persons can consider themselves unable to work due to long-standing health problems if they are unable to work due to health reasons or disabilities for a longer, undetermined or permanent time and/or are unfit to work."
PL087,NUMBER OF MONTHS SPENT STUDYING,"This also applies to apprentices, as well as paid trainees or interns, who can consider themselves as being in employment, while persons having an unpaid work-based training may assign themselves to the category “student/pupil”. For the selected respondent countries, or when this is not possible, part of the information can be derived (selected respondent 16+) and part of it can be asked through interview (other household members aged 16+)."
PL088,NUMBER OF MONTHS SPENT IN COMPULSORY,"For the selected respondent countries, or when this is not possible, part of the information can be derived (selected respondent 16+) and part of it can be asked through interview (other household members aged 16+). If a person has not reached the age of being involved in the military service, the value is ‘0’ and likewise if a person has reached the age when the military service is no longer applicable."
PL089,NUMBER OF MONTHS SPENT FULFILLING,"For the selected respondent countries, or when this is not possible, part of the information can be derived (selected respondent 16+) and part of it can be asked through interview (other household members aged 16+). If more than one type of activity occurs in the same month, priority should be given to economic activity (“main activity: work”) over non-economic activity and over inactivity."
PL090,NUMBER OF MONTHS SPENT IN OTHER,"For the selected respondent countries, or when this is not possible, part of the information can be derived (selected respondent 16+) and part of it can be asked through interview (other household members aged 16+). If more than one type of activity occurs in the same month, priority should be given to economic activity (“main activity: work”) over non-economic activity and over inactivity."
PL100,TOTAL NUMBER OF HOURS PER WEEK USUALLY,"Suggested question: ‘How many hours do you usually work per week in your second and third (and subsequent) jobs?’ Please note that this question includes hours of work in your second, third jobs if you have one beside your main one. This covers all hours including extra hours, either paid or unpaid, which you normally work, but it excludes the travel time between the home and the place of work as well as the main meal break (normally taken at midday)."
PL141,PERMANENCY OF MAIN JOB,"A job with a fixed-term contract or agreement that will terminate either after a period of time determined in advance (by a known date), or after a period not known in advance, but nevertheless defined by objective criteria, such as the completion of an assignment or the period of absence of an employee temporarily replaced. What counts is the contractual (or the informal or verbal arrangement) arrangement of the employment relationship, and not the expectation that the respondent might have to lose the job, their plan to leave it, their wish to stay or the probability to stay there permanently."
PL145,FULL OR PART-TIME MAIN JOB (SELF-DEFINED),"If this answer does not come spontaneously from the respondent, the following guidance can be given: A person in a part-time job works less than a comparable full-time worker having a job in the same occupation and in the same local unit. Working hours include (1) the time spent at the workplace, meaning the place where work tasks and duties are normally carried out, and (2) the time used for carrying out work tasks outside the workplace even if they are not directly paid."
PL150,SUPERVISORY RESPONSIBILITY IN THE MAIN JOB,"Members of groups with collective responsibility (groups where there is a rotating leadership in a continuous way taking charge of the work of other employees, directing their work and seeing that is satisfactorily carried out) should be considered as having supervisory responsibilities. Supervisory responsibility includes the formal responsibility for supervising a group of other employees (other than apprentices and trainees), whom the respondent supervises directly, sometimes when doing some of the work that he or she supervises."
PL200,NUMBER OF YEARS SPENT IN PAID WORK [AS,"Suggested question: ‘How many years did you spend in a regular paid job excluding periods of inactivity (unemployment, training…..)?’ (When temporarily absent from a job because of maternity leave, injury or temporary disability, slack work for technical or economic reasons, ... When a person had a job, but was temporarily absent because of maternity leave, injury or temporary disability, slack work for technical or economic reasons, the related period is to be taken into account when computing the number of years spent in paid work."
PL271,DURATION OF THE MOST RECENT,"The information for the next years can be obtained from registers or imputed based on other variables, however when not possible the variable should be collected from respondents directly also in following years. This variable is helpful for Euromod as it is crucial for the correct modelling of unemployment benefit eligibility and entitlement conditions by identifying the duration of the most recent unemployment spell."
PL230,PUBLIC/PRIVATE EMPLOYMENT SECTOR,"Persons engaged by an employment agency or business and hired out to a third party to carry out a work trip (unless there is a work contract of unlimited duration with the employment agency or business) are to be considered as private sector. The public employment sector comprises the general government sector plus all public corporations, including the central bank."
PW100,JOB SATISFACTION,"PW100_Q1: Overall, how satisfied are you with your job? [Consider your main job only] Please answer on a scale of 0 to 10, where 0 means not at all satisfied and 10 means completely satisfied. From 0 (Not at all satisfied) to 10 (Completely satisfied) Not applicable Don't know Not selected respondent PW100 Your present job 0 1 2 3 4 5 6 7 8 9 10 -2 (PL032 ≠ 1) 99 flag = -3."
PL260,USUAL HOURS WORKED PER WEEK,"This means that if a person has worked for 8 months as a part-time employee and 4 months as a full-time employee (within the reference period), the amount of hours usually worked per week as a part-time employee should be the one reported. Persons who were not working, but had a job or business from which they were absent during part of the reference period, should report the amount of hours per week usually worked in reference to the period that they were working."
PL130,SIZE OF THE LOCAL UNIT FOR MAIN JOB,"PL130_Q1: How many employees are working in the local unit where you are working (including yourself)? _______(1-9) 10 11 12 13 14 15 Exact number of persons, if between 1 and 9 10 to 19 persons 20 to 49 persons 50 to 249 persons 250 persons or more Do not know but less than 10 persons Do not know, but 10 persons or more. For the definition of ‘local unit’ see PL100: Total number of hours usually worked in second, third jobs etc., and Annex 5: The enterprise and local unit."
PL035,WORKED AT LEAST ONE HOUR DURING THE,"For persons who were not working but had a job or business, those who fit into the cases listed below should be considered as ‘working’: - employees (including those on holidays, sick leave, maternity/paternity leave) - long-term absent from work - seasonal workers - maternity and paternity leave - unpaid family workers (including those on holidays, sick leave, maternity/paternity leave) - self-employed persons (including those on holidays, sick leave, maternity/paternity leave) - not working because of lay-off - slack work for technical or economic reasons. Self-employed persons with a business, farm or professional practice are also considered to be working if one of the following applies: - A person working in their own business, professional practice or farm for the purpose of earning a profit, even if the enterprise is failing to make a profit."
PL025,AVAILABLE FOR WORK,"Testing for availability in the 2 weeks after the interview is considered more appropriate than testing during the reference week, because some persons may be unavailable for work during the reference week due to obstacles that might have been overcome had they known that a job was available to them. Suggested question: FILTER: If PL035=1 >> go to the next question PL025_Q1: If a job became available, would you be able to start within the next 2 weeks? 1."
PL020,ACTIVELY LOOKING FOR JOB,"Active methods of looking for a job: - having been in contact with a public employment office to find work, whoever took the initiative (renewing registration for administrative reasons only is not an active method); - having been in contact with a private agency (temporary employment agency, firm specialising in recruitment, etc.) to find work; - applying to employers directly; - asking friends, relatives, trade unions, etc. to help find work; - placing or answering job advertisements; - studying job advertisements; - taking a recruitment test or examination or sitting an interview; - looking for land, premises or equipment;."
PL120,REASON FOR WORKING LESS THAN 30 HOURS,"Suggested question: FILTER: IF PL032≠1 or (PL032=1 and PL060 + PL100 >=30) >> go to the next question Person is working (PL032=1) and PL060 + PL100<30 >> go to PL120_Q1 PL120_Q1: What is the main reason why you are working [NUMBER OF HOURS] (less than 30) hours per week? 1 2 3 4 5 6 Undergoing education or training Personal illness or disability Wants to work more hours but cannot find a job(s) or work of more hours Does not want to work more hours Number of hours in all job(s) are considered as a full-time job Housework, looking after children or other persons. This variable is intended to capture the idea of underemployment (working fewer hours than the person would prefer because they cannot find a job working more hours; see for example the Working Group on Employment Statistics, 2001b)."
PL280,LENGTH OF REGISTRATION OF UNEMPLOYMENT,Suggested question: FILTER: If PL211A to PL211L ≠ 5 or RB081≠16-74 >> go to the next question PL280_Q1: You said that you have been unemployed during the last calendar year. ‘Registered’ should be understood as a person who was registered with the local unemployment office as unemployed.
PE030,YEAR WHEN HIGHEST LEVEL OF EDUCATION,"Where two vocational qualifications are obtained from programmes at the same ISCED level, the most recent qualification should be used for completing the variable ‘year of the successful completion of the highest educational level’ and for giving the field of this education programme. One possible way to estimate ‘year when the highest level of education was attained’ is based on the year of birth and the age at completion of the highest level of education or, if unknown, the usual duration (without interruption) for a particular level of educational attainment."
PE050,EDUCATION INTERRUPTED OR ABANDONED,"Formal education or training is defined according to the International Standard Classification of Education 2011 (ISCED 2011), see http://uis.unesco.org/sites/default/files/documents/international-standard- classification-of-education-isced-2011-en.pdf ‘Formal education and training interrupted or abandoned’ means that a person has started a formal education programme, but has not successfully completed this programme. According to ISCED 2011, ‘a common characteristic of an education programme is that, upon fulfilment of learning objectives or educational tasks, successful completion is certified.’ Accordingly, abandoning formal education is defined as leaving formal education without certification or a diploma, and without obtaining the final credential associated with this formal education."
HS160,"PROBLEMS WITH THE DWELLING: TOO DARK,","It is recommended to consider whether the dwelling is ‘too dark, without enough daylight’ on a sunny day, which means that artificial lighting should not be taken into account. The objective is to assess whether the respondent feels that ‘the dwelling is too dark, without enough daylight’ is a problem for the household."
HS170,NOISE FROM NEIGHBOURS OR FROM THE,"Suggested question: HS170_Q1: Do you have any of the following problems related to the place where you live: too much noise in your dwelling from neighbours or from outside (traffic, a business, a factory, etc.)? 1. In the interviewers’ guidelines, 'noise from outside' should be described as noise linked to traffic (street or road, plane, railway), linked to businesses, factories, agricultural activities, clubs and yard."
HC020,SIZE OF THE DWELLING IN SQUARE METRES,"If part of the dwelling area is shared with other households (within the same dwelling), the procedure is as follows: − if the number of persons living in all households occupying the same dwelling is known, the shared area should be divided by the number of persons living there and that part of the shared area should be added to each household according to the number of members; − if only the number of households occupying the same dwelling is known, the shared area should be divided by the number of households and an equal share should be added to each household; − in all other cases, the shared space should be added to each household. The dwelling size refers to the useful floor space using the same definition as for the population and housing census and as recommended in the Programme of Current Housing and Building Statistics for Countries in the UNECE Region (Statistical Standards and Studies No."
HC080,OVERALL SATISFACTION WITH THE DWELLING,"The variable refers to the respondent’s degree of satisfaction with the dwelling in terms of meeting the household’s needs, and their opinion of the price (the financial burden related to the main dwelling). Suggested question: HC080_Q1: Overall, how satisfied is your household with your dwelling? [Consider the main dwelling only] 1."
HY030,IMPUTED RENT,"Several methods for estimating ‘gross’68 imputed rent are available: - the regression/stratification method based on actual rents; - the user cost method based on the estimation of cost incurred for homeownership by foregoing the opportunity to invest in financial assets from which real income flows are created by interest and dividends; - the self-assessment method; - the administrative assessment method, generally for fiscal purposes; For the sake of comparability between countries, a regression/stratification method should be applied, except for duly justified cases, in particular when the private rental market represents less than 10% of the market 68 i.e. The imputed rent refers to the value that must be imputed for all households that do not report themselves as paying full rent, either because they are owner-occupiers or they live in accommodation rented at a lower price than the market price, or because the accommodation is provided rent-free."
HH040,"LEAKING ROOF, DAMP","The aim of this variable is to obtain an objective measure of the condition of the dwelling; whether the dwelling has a problem with a leaking roof and/or damp ceilings, dampness in the walls, floors or foundations and/or rot in window frames and doors. Suggested question: HH040_Q1: Do you have any of the following problems with your dwelling/accommodation? - A leaking roof - Damp walls/floors/foundations -     Rot in window frames or floor 1."
